Organisations ind¨¦pendantes,CRIIREM,"Centre de recherche et d¡¯information ind¨¦pendant sur les rayonnements ¨¦lectromagn¨¦tiques non ionisants
- Descriptif : Le CRIIREM est une","Le CRIIREM est une association ind¨¦pendante dont la fonction principale est d¡¯informer la population des risques li¨¦s aux ondes ¨¦lectromagn¨¦tiques. Dans cette optique, elle s¡¯engage ¨¤ r¨¦pondre aux interrogations des riverains, les informer des risques auxquels ils peuvent ¨ºtre soumis, et leur proposer des solutions adapt¨¦es, mais elle peut aussi accompagner des actions ind¨¦pendantes (d¨¦marches pr¨¦ventives).",http://www.criirem.org/
Organisations ind¨¦pendantes,CREAL,Centre for Research in Environmental Epidemiology,"Centre de recherche d¨¦di¨¦ ¨¤ l¡¯¨¦tudes des probl¨¨mes de sant¨¦, et en particulier celle des maladies infectieuses et des maladies chroniques. Depuis 2016, le centre de recherche a fusionn¨¦ avec l¡¯institut ISGlobal (Institut for Global Health) de Barcelone, ce qui lui permet d¡¯allier ¨¤ son expertise en mati¨¨re de recherche, la capacit¨¦ de s¡¯attaquer concr¨¨tement aux probl¨¨mes de sant¨¦ publique.",http://www.creal.cat/en_index.html
Organisations ind¨¦pendantes,ICNIRP,International Commision on Nonionizing Radiation Protection,"L¡¯ICNIRP est une organisation ind¨¦pendante charg¨¦e d¡¯informer la population des risques potentiels des ondes non-ionisantes. Elle fait collaborer plusieurs chercheurs en biologie, ¨¦pid¨¦miologie, m¨¦decine, physique et chimie pour proposer des conseils relatif ¨¤ la protection contre les ondes, consultables sur son site.",http://www.icnirp.org/
Organisations ind¨¦pendantes,IRPA,International Radiation Protection Association,"L¡¯IRPA est une association fournissant un support de communication aux diff¨¦rents acteurs engag¨¦s dans la protection contre les ondes. En particulier, l¡¯IRPA organise des rencontres internationales r¨¦unissant chercheurs, ing¨¦nieurs et l¨¦gislateurs afin de discuter de la question des radiofr¨¦quences.",http://www.irpa.net/
Organisations internationales,SCENIHR,Scientific Committee On Emerging and Newly Identified Health Risks,"Comit¨¦ ind¨¦pendant plac¨¦ aupr¨¨s de l¡¯Union Europ¨¦enne. Il a pour objectif de conseiller la Commission Europ¨¦enne sur les mesures ¨¤ prendre en cas de risques sanitaires. En outre, il est compos¨¦ de 13 membres ¨¦lus pour 3 ans renouvelables, assurant une certaine exp¨¦rience et la repr¨¦sentation de secteur technique et g¨¦ographique pluriels.",http://ec.europa.eu/health/scientific_committees/emerging/opinions/index_en.htm
Organisations internationales,OMS,Organisation Mondiale de la Sant¨¦,"L¡¯OMS est un organisme mondial, travaillant en collaboration avec les Etats dans le but d¡¯am¨¦liorer le niveau de sant¨¦ des populations. En travaillant avec l¡¯ONU (Organisation des Nations Unies), l¡¯OMS coordonne les missions de sant¨¦ publique notamment en mati¨¨re de recherche et de pr¨¦vention.",http://www.who.int/about/fr/
Organisations ¨¦tatiques,ANSES,"Agence nationale de s¨¦curit¨¦ sanitaire de l¡¯alimentation, de l¡¯environnement et du travail","l¡¯ANSES est un ¨¦tablissement public ¨¤ caract¨¨re administratif, pouvant ¨ºtre saisie par l¡¯Etat, les syndicats, ou les parties repr¨¦sent¨¦es ¨¤ son conseil d¡¯administration, et assurant des missions de veille, d¡¯expertise et de recherche, et de r¨¦f¨¦rence dans le domaine de la sant¨¦ (humaine, v¨¦g¨¦tale et animale).",https://www.anses.fr/fr
Organisations ¨¦tatiques,ANFR,Agence nationale des fr¨¦quences,"L¡¯ANFR est un ¨¦tablissement public charg¨¦e de la gestion des bandes de fr¨¦quences, de l¡¯assignation des fr¨¦quences et la gestion des sites, ainsi que le contr?le des installations, d'¨¦mission et le traitement des brouillages.",http://www.anfr.fr/accueil/
Organisations ¨¦tatiques,DGPR,Direction g¨¦n¨¦rale de la pr¨¦vention des risques,"La DGPR est l¡¯administration fran?aise qui regroupe les organismes publics tels que l¡¯ANSES, L¡¯ADEME ou l¡¯INERIS, et qui est charg¨¦e de mettre en oeuvre les politiques relatives ¨¤ la connaissance, l¡¯¨¦valuation, la pr¨¦ventio net la r¨¦duction de risques (dans les domaines de la pollution chimique, des catastrophes naturelles, de la production des d¨¦chets, ou des OGMs)",http://www.developpement-durable.gouv.fr/direction-generale-prevention-des-risques-dgpr
Militants anti-ondes,Robin des toits,Robin des toits,Association cr¨¦¨¦e en 2004 avec pour objectif la mise en garde et l¡¯appel ¨¤ la prudence concernant l¡¯utilisation de plus en plus intensive des radiofr¨¦quences. Elle veille ¨¤ l¡¯implantation de nouvelles antennes radio en France.,http://www.robindestoits.org
Militants anti-ondes,PRIARTEM,PRIARTEM,"PRIART¨¦M a ¨¦t¨¦ cr¨¦¨¦e, en octobre 2000 (J.O. du 07 octobre 2000), avec pour objet de veiller ¨¤ une implantation des antennes-relais de t¨¦l¨¦phonie mobile respectueuse des conditions de vie et de sant¨¦ de tous. Elle a ¨¦t¨¦ la premi¨¨re association, au niveau national, ¨¤ faire ¨¦merger ce probl¨¨me.",http://www.priartem.fr/accueil.html
Militants anti-ondes,Sant¨¦ sans ondes,Sant¨¦ sans ondes,Association cr¨¦¨¦e dans le but d¡¯informer les personnes sensibilis¨¦es par la probl¨¦matique des effest des ondes ¨¦lectromagn¨¦tiques sur leur sant¨¦,http://www.sante-sans-ondes.org/
Institutions juridiques,Sant¨¦ Publique France,Sant¨¦ Publique France,"Etablissement public administratif sous la tutelle du minist¨¨re de la
sant¨¦. Elle a pour mission de ¡°prot¨¦ger efficacement les populations¡±.",http://www.santepubliquefrance.fr/Sante-publique-France/Qui-sommes-nous
Institutions juridiques,Grenelle des Ondes,Grenelle des Ondes,"Anciennement appel¨¦ ¡°Grenelle des antennes-relais¡±, le Grenelle des ondes est un ensemble de d¨¦bats organis¨¦s sous l¡¯impulsion de la secr¨¦taire d¡¯Etat ¨¤ l¡¯¨¦conomie num¨¦rique en 2009. Ces d¨¦bats r¨¦unissaient associations et repr¨¦sentants de l¡¯Etat. L¡¯objectif ¨¦tait de r¨¦pondre aux inqui¨¦tudes croissantes de la population ¨¤ propos des diff¨¦rentes technologies sans fil. Une s¨¦rie de 10 orientations ont ¨¦t¨¦ propos¨¦es.",https://fr.wikipedia.org/w/index.php?title=Grenelle_des_ondes&oldid=134558945
Institutions juridiques,Assembl¨¦e Nationale,Assembl¨¦e Nationale,"Forme une partie du Parlement de la Ve R¨¦publique fran?aise. C¡¯est un organe politique ¨¦lu au suffrage direct pour un mandat de 5 ans, ce qui lui donne le pouvoir de d¨¦battre, amender et voter les textes de loi et ¨¦galement de renverser le gouvernement.",http://www.assemblee-nationale.fr/
